pTrdSymbol;pSymbol;pSymbolName;pGroup;pExSeg;pInstType
NIFTY;26000;NIFTY;;;
BANKNIFTY;26009;BANKNIFTY;;;
FINNIFTY;26037;FINNIFTY;;;
MIDCPNIFTY;26074;MIDCPNIFTY;;;
10IIFL28-N4;5212;10IIFL28;N4;;
698HP32-SG;5538;698HP32;SG;;
UTIAMC-BL;554;UTIAMC;BL;;
712WB51-SG;5542;712WB51;SG;;
706KL39-SG;5545;706KL39;SG;;
IPL-EQ;4934;IPL;EQ;;
DUGLOBAL-SM;5457;DUGLOBAL;SM;;
638MH27-SG;5467;638MH27;SG;;
698AS31A-SG;5468;698AS31A;SG;;
697GA31-SG;5469;697GA31;SG;;
EPIGRAL-EQ;5382;EPIGRAL;EQ;;
SFMP49DR-MF;5498;SFMP49DR;MF;;
625AS26-SG;5226;625AS26;SG;;
714AP41-SG;5236;714AP41;SG;;
ICICIBANK-EQ;4963;ICICIBANK;EQ;;
PHARMABEES-EQ;4973;PHARMABEES;EQ;;
682CG28-SG;4984;682CG28;SG;;
694MH31-SG;4993;694MH31;SG;;
SERVOTECH-EQ;5507;SERVOTECH;EQ;;
SERVOTECH-BL;5514;SERVOTECH;BL;;
ENGINERSIN-EQ;4907;ENGINERSIN;EQ;;
MADRASFERT-EQ;4911;MADRASFERT;EQ;;
679WB28A-SG;5344;679WB28A;SG;;
695TN31B-SG;5471;695TN31B;SG;;
698UP31-SG;5473;698UP31;SG;;
BFSI-EQ;5220;BFSI;EQ;;
CIGNITITEC-EQ;5142;CIGNITITEC;EQ;;
CHEMPLASTS-EQ;5449;CHEMPLASTS;EQ;;
699GA31B-SG;5333;699GA31B;SG;;
SFMP50GR-MF;5602;SFMP50GR;MF;;
SGIL-BL;5117;SGIL;BL;;
687MN31-SG;5691;687MN31;SG;;
687UP31-SG;5695;687UP31;SG;;
698GA31-SG;7296;698GA31;SG;;
699WB35-SG;620;699WB35;SG;;
IIFLZC26-NN;6207;IIFLZC26;NN;;
PREMIER-BE;6248;PREMIER;BE;;
MENONBE-BL;6968;MENONBE;BL;;
DMCC-BL;6979;DMCC;BL;;
607RJ26-SG;6987;607RJ26;SG;;
684RJ31B-SG;6990;684RJ31B;SG;;
AARTIIND-EQ;7;AARTIIND;EQ;;
HEMIPROP-EQ;701;HEMIPROP;EQ;;
688KA32-SG;7047;688KA32;SG;;
705AP35-SG;5527;705AP35;SG;;
704KL34-SG;5539;704KL34;SG;;
685GA31B-SG;5674;685GA31B;SG;;
RATEGAIN-EQ;7177;RATEGAIN;EQ;;
668GS2031-GS;7205;668GS2031;GS;;
SBIETFPB-EQ;722;SBIETFPB;EQ;;
MAPMYINDIA-EQ;7227;MAPMYINDIA;EQ;;
METROBRAND-BL;7249;METROBRAND;BL;;
EIFFL-EQ;6040;EIFFL;EQ;;
655MH28-SG;605;655MH28;SG;;
ATGL-EQ;6066;ATGL;EQ;;
665ML30-SG;609;665ML30;SG;;
675GJ29-SG;6093;675GJ29;SG;;
697UP31A-SG;6099;697UP31A;SG;;
713AP36A-SG;6112;713AP36A;SG;;
75GS2034-GS;6873;75GS2034;GS;;
824GS2027-GS;6884;824GS2027;GS;;
826GS2027-GS;6898;826GS2027;GS;;
RPPL-BL;6920;RPPL;BL;;
833GS2032-GS;6922;833GS2032;GS;;
JMA-BL;7112;JMA;BL;;
817GS2044-GS;7115;817GS2044;GS;;
813GS2045-GS;7124;813GS2045;GS;;
773GS2034-GS;7127;773GS2034;GS;;
684BR30-SG;7152;684BR30;SG;;
63PY27-SG;7153;63PY27;SG;;
975CCSP28-N0;759474;975CCSP28;N0;;
741JK42-SG;759491;741JK42;SG;;
919PFL28-N0;759561;919PFL28;N0;;
746TN55-SG;759596;746TN55;SG;;
711SDIL30-N0;759601;711SDIL30;N0;;
805AIFL32-N0;759603;805AIFL32;N0;;
